,movie_name,movie_ratings,movie_image,movie_genre
51,Rocketry: The Nambi Effect,8.8,"https://m.media-amazon.com/images/M/MV5BNTk2MjUxMjEtZDU5OC00MzYxLTkwMWYtMGM5YWQ0MWMyN2I1XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_UY209_CR0,0,140,209_AL_.jpg","Biography, Drama            "
52,Khuda Haafiz Chapter 2 Agni Pariksha,7.5,"https://m.media-amazon.com/images/M/MV5BODI2MTQxYjItNmZiNi00NTdkLWJmMzktZjA5YmViNjI2Y2UzXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Crime, Drama            "
53,Toolsidas Junior,7.4,"https://m.media-amazon.com/images/M/MV5BMGFlYjVkMWMtMDM2MC00ZmQ3LThmMjUtMDYyMGRlOGJmNjgyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Family, Sport            "
54,Udal,6.9,"https://m.media-amazon.com/images/M/MV5BNjExNjQ5ODEtMTFmMi00NTg1LTgxZGUtMWU3OWM0NDA5NjcxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Thriller            "
55,Otru,8.4,"https://m.media-amazon.com/images/M/MV5BMzhlODczZjgtNTFjMy00MDkzLTk1ZWQtMmE5NzlhNDI2MzkwXkEyXkFqcGdeQXVyNTIwODIyMTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Drama, Thriller            "
56,Sila Nerangalil Sila Manidhargal,8,"https://m.media-amazon.com/images/M/MV5BYTk1NDg3NjktMTA2MS00NmYzLWE0MTEtYWQxN2M5OTc2YmQyXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR6,0,140,209_AL_.jpg",Drama            
57,Virata Parvam,6.8,"https://m.media-amazon.com/images/M/MV5BM2U5MzUxZDctOWExMi00OWY1LTg5MTgtODNkMTMyNWE0N2ZkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Drama            "
58,Ashoka Vanamlo Arjuna Kalyanam,7.4,"https://m.media-amazon.com/images/M/MV5BMzQxNDhjODMtNGM3Yy00ZWI5LWFlYjItZWM2N2ZkMDgwZDQxXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX140_CR0,0,140,209_AL_.jpg","Drama, Romance            "
59,DJ Tillu,7.2,"https://m.media-amazon.com/images/M/MV5BYjNjYjM1MzItNzk0NC00ZjJhLThjMjAtOWU3M2NmNTdhNTgxXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_UY209_CR4,0,140,209_AL_.jpg","Action, Comedy, Crime            "
60,Sehari,6.9,"https://m.media-amazon.com/images/M/MV5BYzA2MDdkOTUtYzRlNi00ODZjLTgzM2QtOGFlY2VmMGZiY2M0XkEyXkFqcGdeQXVyMTI2MDYzMjc5._V1_UY209_CR13,0,140,209_AL_.jpg","Comedy, Romance            "
61,Seethayanam,6.2,"https://m.media-amazon.com/images/M/MV5BODE2MjVmNDktYzE4My00NDljLTk1MjUtOWVmM2NhNmFiZWIxXkEyXkFqcGdeQXVyMTQ5MTE5NTUz._V1_UY209_CR34,0,140,209_AL_.jpg","Drama, Thriller            "
62,Love Mocktail 2,7.5,"https://m.media-amazon.com/images/M/MV5BYzVmMzJkODktN2JiZC00YTYyLWJiZTAtNmUzNTRhMTdjZDYwXkEyXkFqcGdeQXVyMTExNjE4MzAw._V1_UX140_CR0,0,140,209_AL_.jpg","Drama, Romance            "
63,Old Monk,6.9,"https://m.media-amazon.com/images/M/MV5BNjBhYTc5NDQtNDhiNi00Yzk3LTg3ZDQtZDdlZjk3ZWZiNDA5XkEyXkFqcGdeQXVyMTA1NzEzOTU1._V1_UY209_CR2,0,140,209_AL_.jpg","Comedy, Romance            "
64,Ek Love Ya,5.9,"https://m.media-amazon.com/images/M/MV5BNzMwODgzYmYtNTI4Ni00NWJhLThlYTEtYjAyZWRjZmVlZTc0XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UY209_CR34,0,140,209_AL_.jpg","Action, Musical, Romance            "
65,Dear Vikram,6.6,"https://m.media-amazon.com/images/M/MV5BYzM1M2UzYmQtOTM4MS00MzI2LTk1ZjktYTc5ZGU5MzBiNDQzXkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_UY209_CR0,0,140,209_AL_.jpg","Action, Drama            "
66,Wheel Chair Romeo,8.2,"https://m.media-amazon.com/images/M/MV5BYTVkNzkxMDYtZTkzZS00MDg1LWJmZDgtMWM0MjNlZjIyMDYyXkEyXkFqcGdeQXVyOTcxMjcxMDg@._V1_UX140_CR0,0,140,209_AL_.jpg","Comedy, Drama, Romance            "
67,Ela Veezha Poonchira,7.2,"https://m.media-amazon.com/images/M/MV5BN2YyMGU4N2EtODg2Ny00MzQxLWJhM2EtZWQ4MTU3OTY3MTE0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR17,0,140,209_AL_.jpg","Crime, Mystery, Thriller            "
68,Gargi,8.1,"https://m.media-amazon.com/images/M/MV5BZmE3YmY0NGEtNDIyNy00ZDE5LTk2ZDYtMGFmMDNiZTcwNDg1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR2,0,140,209_AL_.jpg","Drama, Thriller            "
69,Iravin Nizhal,6.5,"https://m.media-amazon.com/images/M/MV5BNDFmNDQ4ZjgtYzlkZC00YmZjLTg5MzQtOTllOTdiMTgzMzY5XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR2,0,140,209_AL_.jpg","Drama, Mystery, Thriller            "
70,"Nna, Thaan Case Kodu",8,"https://m.media-amazon.com/images/M/MV5BOTk0MGE4MTAtZTA2Ny00NjEzLWEyMDAtNmZhNzg5Y2VlOGRiXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR8,0,140,209_AL_.jpg","Comedy, Crime, Drama            "
71,Malayankunju,6.9,"https://m.media-amazon.com/images/M/MV5BYjU2MWU2ODQtMzllYi00MTY0LTg1ZGEtNDRmYjMxYTA3MWFjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR8,0,140,209_AL_.jpg","Drama, Thriller            "
72,Mahaveeryar,6.2,"https://m.media-amazon.com/images/M/MV5BMjA2NDIxOWUtNTRiZS00NjdmLTgwMmYtYmUzNGZmZWUzMzA3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Action, Comedy, Drama            "
73,Vikrant Rona,7,"https://m.media-amazon.com/images/M/MV5BMTU0Yjc3MWItMWMwMy00ODE1LWFiNGQtYjFmNjgzYzlmNDU3XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Crime, Drama            "
74,Paappan,6.8,"https://m.media-amazon.com/images/M/MV5BMDc1OTFhOWUtNWQ4NS00ZTNiLWEyMmItOTdlZjg5YTZiYTM4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Crime, Drama, Mystery            "
75,Gulu Gulu,5.9,"https://m.media-amazon.com/images/M/MV5BNTcxNmNkZDYtMzdiMC00ZjlmLTg1Y2QtYzQ3MGJhZDE4ZWFjXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR8,0,140,209_AL_.jpg",Comedy            
76,Karthikeya 2,8,"https://m.media-amazon.com/images/M/MV5BMzFhZTE0NDAtMWNiYy00NDEwLWJkODctZWExZmIwZmM2ZjM5XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Adventure, Fantasy            "
77,Mei Hoom Moosa,5.8,"https://m.media-amazon.com/images/M/MV5BNTBjNTlkNzEtNzZmYS00YmMxLWIwZjUtY2FmODg2MzY2NTViXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UX140_CR0,0,140,209_AL_.jpg",Drama            
78,Naane Varuven,6.2,"https://m.media-amazon.com/images/M/MV5BY2UwMGQwNmUtNDI2MS00ZTRmLWIxMjQtNTg5ZGU0YTRjNGEzXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR1,0,140,209_AL_.jpg","Action, Horror, Thriller            "
79,Thiruchitrambalam,7.9,"https://m.media-amazon.com/images/M/MV5BM2Q2ZmQ0YWUtNmQzNC00ODAyLTk2OTQtODRiMjJkOGMxZDcwXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR7,0,140,209_AL_.jpg","Comedy, Drama, Musical            "
80,Vikram Vedha,7.1,"https://m.media-amazon.com/images/M/MV5BYTEyYjgzNmUtM2QyYi00MWMwLWExMDctZmY1NmZhNGY5MWNiXkEyXkFqcGdeQXVyOTcwMTQxMTM@._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Crime, Drama            "
81,Doctor G,6.7,"https://m.media-amazon.com/images/M/MV5BMGNmNDIyNmItOTU4MC00ZmQzLWI2ODQtODhmOTZlMmY0M2E1XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY209_CR13,0,140,209_AL_.jpg","Comedy, Drama            "
82,Padavettu,7,"https://m.media-amazon.com/images/M/MV5BMTg3YjA0ZDAtNGFhOS00ZTA5LTk5MGUtZmM3MDhlOWQxYWE1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Drama, Thriller            "
83,Vichitram,8.4,"https://m.media-amazon.com/images/M/MV5BYWYxMWI5NmEtMjhlYy00NjE3LWJkMDQtNjNjZjcxMDg0YTVlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Drama            
84,Sardar,7.5,"https://m.media-amazon.com/images/M/MV5BYzc3NDI0NzQtYWYyYi00ZmJkLTgxOWMtZTA1MWM2MDQ5YmZjXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR1,0,140,209_AL_.jpg","Action, Drama, Thriller            "
85,Drishyam 2,8.2,"https://m.media-amazon.com/images/M/MV5BYmY2ZDUxNzUtYWZlYy00MThhLWI5NjktZDhjZTU3MDY5YTM3XkEyXkFqcGdeQXVyNTYxMDgzODI@._V1_UY209_CR13,0,140,209_AL_.jpg","Crime, Drama, Mystery            "
86,"Monica, O My Darling",7.4,"https://m.media-amazon.com/images/M/MV5BYTZjNzI1ZTItOTE5Ny00MjBjLWE1NjUtOWRkZWVkOTk2OTZmXkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_UY209_CR8,0,140,209_AL_.jpg","Comedy, Crime, Drama            "
87,Bhediya,7.3,"https://m.media-amazon.com/images/M/MV5BNDA5OWE3YTUtNjU0Mi00MWI0LTg3ODgtYmUwNzdkNTdiOWQ2XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_UY209_CR8,0,140,209_AL_.jpg","Comedy, Horror, Thriller            "
88,Gold,4.6,"https://m.media-amazon.com/images/M/MV5BZGU2NTQ3NTMtYTgxYi00YzNkLTk3YTItM2VkM2RiNjZmOThkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR8,0,140,209_AL_.jpg","Comedy, Drama, Thriller            "
89,An Action Hero,7.1,"https://m.media-amazon.com/images/M/MV5BMDJiOTdmMGItMmM5MC00ZTRiLWIzNjctNDE4ZTZkMWMzZTg0XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Comedy, Crime            "
90,Saudi Vellakka,8,"https://m.media-amazon.com/images/M/MV5BN2E0MGQ2OTEtOWMzOC00MTkzLThhMDgtNTg3YjVkZDQ2Mzg0XkEyXkFqcGdeQXVyMTA5Njc5Nzcy._V1_UY209_CR13,0,140,209_AL_.jpg",Drama            
